name,team,pos,age,GP,GS,MPG,PTS,REB,OREB,DREB,AST,STL,BLK,TOV,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%
Jabari Smith Jr.,HOU,PF,21,57,39,30.1,12.2,7.0,1.8,5.2,1.1,0.4,0.7,1.1,4.4,9.9,0.438,1.7,4.9,0.354,1.8,2.2,0.825
Jabari Walker,POR,PF,22,60,1,12.5,5.2,3.5,1.0,2.5,0.6,0.6,0.1,0.6,2.0,3.8,0.515,0.5,1.2,0.389,0.8,1.2,0.69
Jack McVeigh,HOU,PF,28,9,0,4.8,1.6,0.6,0.2,0.3,0.1,0.0,0.2,0.2,0.6,1.9,0.294,0.4,1.4,0.308,0.0,0.0,
Jackson Rowe,GSW,PF,28,6,0,8.7,3.7,1.8,0.5,1.3,0.7,0.7,0.0,0.2,1.3,2.8,0.471,0.5,1.7,0.3,0.5,1.0,0.5
Jacob Toppin,2TM,SF,24,17,0,4.5,1.4,0.9,0.2,0.7,0.4,0.1,0.0,0.2,0.5,1.3,0.409,0.3,0.6,0.5,0.0,0.0,
Jaden Hardy,DAL,SG,22,57,3,15.9,8.7,1.6,0.2,1.4,1.4,0.5,0.1,1.4,3.2,7.3,0.435,1.3,3.5,0.386,1.1,1.5,0.698
Jaden Ivey,DET,SG,22,30,30,29.9,17.6,4.1,1.3,2.8,4.0,0.9,0.4,3.0,6.3,13.8,0.46,2.1,5.1,0.409,2.8,3.9,0.733
Jaden McDaniels,MIN,PF,24,82,82,31.9,12.2,5.7,1.6,4.2,2.0,1.3,0.9,1.2,4.9,10.2,0.477,1.2,3.7,0.33,1.3,1.6,0.813
Jaden Springer,2TM,PG,22,43,2,8.5,2.5,1.3,0.4,1.0,0.8,0.6,0.1,0.4,0.8,2.1,0.389,0.3,1.1,0.25,0.6,0.9,0.711
Jae Crowder,SAC,PF,34,9,2,11.4,2.6,2.2,0.7,1.6,0.7,0.3,0.0,0.4,0.8,2.4,0.318,0.4,1.7,0.267,0.6,0.7,0.833
Jae'Sean Tate,HOU,SF,29,52,2,11.3,3.6,2.3,1.0,1.3,0.9,0.5,0.1,0.4,1.3,2.8,0.473,0.3,0.9,0.348,0.6,0.9,0.681
Jahlil Okafor,IND,C,29,1,0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,
Jahmir Young,CHI,PG,24,6,0,5.0,1.8,0.5,0.2,0.3,1.0,0.0,0.0,0.2,0.7,0.8,0.8,0.2,0.3,0.5,0.3,0.3,1.0
Jaime Jaquez Jr.,MIA,SF,23,66,17,20.7,8.6,4.4,1.3,3.1,2.5,0.9,0.2,1.5,3.2,7.0,0.461,0.6,1.8,0.311,1.6,2.2,0.754
Jake LaRavia,2TM,PF,23,66,0,20.4,6.9,3.9,1.4,2.6,2.4,0.9,0.3,1.3,2.4,5.1,0.475,0.9,2.2,0.423,1.2,1.7,0.678
Jakob Poeltl,TOR,C,29,57,56,29.6,14.5,9.6,3.3,6.3,2.8,1.2,1.2,1.9,6.4,10.2,0.627,0.0,0.1,0.333,1.7,2.5,0.674
Jalen Bridges,PHO,SF,23,8,0,3.8,1.1,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.3,0.9,0.286,0.3,0.9,0.286,0.4,0.5,0.75
Jalen Brunson,NYK,PG,28,65,65,35.4,26.0,2.9,0.4,2.5,7.3,0.9,0.1,2.5,9.0,18.5,0.488,2.3,6.1,0.383,5.7,6.9,0.821
Jalen Duren,DET,C,21,78,78,26.1,11.8,10.3,3.6,6.8,2.7,0.7,1.1,1.7,4.8,7.0,0.692,0.0,0.0,,2.1,3.1,0.669
Jalen Green,HOU,SG,22,82,82,32.9,21.0,4.6,0.5,4.0,3.4,0.9,0.3,2.5,7.4,17.5,0.423,2.9,8.1,0.354,3.3,4.1,0.813
Jalen Hood-Schifino,2TM,SG,21,15,0,21.0,7.1,1.8,0.2,1.6,2.5,0.3,0.5,1.2,2.5,6.5,0.378,0.9,3.1,0.304,1.2,1.4,0.857
Jalen Johnson,ATL,SF,23,36,36,35.7,18.9,10.0,1.7,8.3,5.0,1.6,1.0,2.9,7.5,15.1,0.5,1.2,3.9,0.312,2.6,3.5,0.746
Jalen McDaniels,WAS,SF,27,4,0,1.8,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,
Jalen Pickett,DEN,SG,25,49,4,13.6,4.1,1.4,0.3,1.1,2.2,0.4,0.1,0.5,1.6,3.7,0.428,0.8,2.1,0.396,0.1,0.2,0.75
Jalen Smith,CHI,C,24,64,2,15.0,8.2,5.6,1.4,4.2,1.0,0.3,0.7,0.6,3.0,6.4,0.466,1.1,3.5,0.324,1.1,1.4,0.809
Jalen Suggs,ORL,PG,23,35,35,28.6,16.2,4.0,0.7,3.4,3.7,1.5,0.9,2.9,5.6,13.7,0.41,2.2,6.9,0.314,2.8,3.1,0.882
Jalen Williams,OKC,SG,23,69,69,32.4,21.6,5.3,0.9,4.5,5.1,1.6,0.7,2.2,8.2,16.9,0.484,1.8,4.9,0.365,3.4,4.3,0.789
Jalen Wilson,BRK,PF,24,79,22,25.7,9.5,3.4,0.9,2.5,1.8,0.5,0.1,1.0,3.1,7.8,0.397,1.5,4.6,0.337,1.7,2.1,0.818
Jamal Cain,NOP,SF,25,37,0,13.6,5.3,2.3,0.7,1.6,0.6,0.6,0.2,0.6,1.8,4.3,0.43,0.7,2.2,0.325,0.9,1.4,0.68
Jamal Murray,DEN,PG,27,67,67,36.1,21.4,3.9,0.7,3.2,6.0,1.4,0.5,2.1,7.9,16.7,0.474,2.3,5.9,0.393,3.3,3.7,0.886
Jamal Shead,TOR,PG,22,75,11,19.6,7.1,1.5,0.4,1.1,4.2,0.8,0.1,1.6,2.7,6.7,0.405,1.0,3.0,0.323,0.7,0.9,0.768
Jamaree Bouyea,MIL,PG,25,5,1,12.4,3.4,1.0,0.2,0.8,2.0,0.8,0.4,1.6,1.2,2.4,0.5,0.2,1.0,0.2,0.8,1.2,0.667
James Harden,LAC,PG,35,79,79,35.3,22.8,5.8,0.7,5.1,8.7,1.5,0.7,4.3,6.7,16.4,0.41,3.0,8.5,0.352,6.4,7.3,0.874
James Johnson,IND,PF,37,12,0,3.1,0.7,0.5,0.0,0.5,0.3,0.0,0.2,0.3,0.3,0.9,0.364,0.0,0.3,0.0,0.0,0.1,0.0
James Wiseman,IND,C,23,1,0,5.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0
